question,answer_expected,ground_truth,doc_file,department
Quy định công tác khảo thí áp dụng cho những ai?,"Quy định này được áp dụng đối với các đơn vị, cá nhân có nhiệm vụ liên quan và học viên, sinh viên (HVSV) đang học tập tại Học viện, bao gồm Cơ sở chính của Học viện tại Hà Nội và Phân hiệu Học viện tại Thành phố Hồ Chính Minh.","1. Văn bản này quy định về công tác khảo thí của Học viện Kỹ thuật mật mã ( sau đây gọi là Học viện ), bao gồm: kiểm tra thường xuyên, thi giữa kỳ, thi kết thúc học phần, thi tốt nghiệp, đồ án/luận văn/đề án tốt nghiệp trong các chương trình đào tạo đại học và cao học.
2. Quy định này được áp dụng đối với các đơn vị, cá nhân có nhiệm vụ liên quan và học viên, sinh viên (HVSV) đang học tập tại Học viện, bao gồm Cơ sở chính của Học viện tại Hà Nội ( sau đây gọi là Cơ sở chính ) và Phân hiệu Học viện tại Thành phố Hồ Chính Minh ( sau đây gọi là Phân hiệu ).",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Yêu cầu đối với công tác khảo thí gồm gì?,"Đảm bảo tính nghiêm túc trong quản lý công tác thi và đánh giá kết quả học tập theo đúng quy chế của Bộ Giáo dục và Đào tạo.
Đảm bảo tính độc lập giữa quá trình dạy, học và quá trình thi, kiểm tra. Đảm bảo các yêu cầu nghiêm túc, khách quan, công bằng trong việc đánh giá kết quả học tập của HVSV, góp phần nâng cao chất lượng đào tạo.
Tuân thủ quy định về bảo vệ bí mật nhà nước.","- a) Làm căn cứ để Giám đốc Học viện phân công, bố trí, sử dụng nhân lực hợp lý, tăng cường hiệu quả công tác quản lý, thanh tra, giám sát, khen thưởng, xử lý vi phạm đối với công tác khảo thí.
- b) Làm cơ sở để các đơn vị, cá nhân có liên quan thực hiện tốt chức năng,
3. nhiệm vụ trong công tác khảo thí.
2. Yêu cầu
- a) Đảm bảo tính nghiêm túc trong quản lý công tác thi và đánh giá kết quả
6. học tập theo đúng quy chế của Bộ Giáo dục và Đào tạo.
- b) Đảm bảo tính độc lập giữa quá trình dạy, học và quá trình thi, kiểm tra. Đảm bảo các yêu cầu nghiêm túc, khách quan, công bằng trong việc đánh giá kết quả học tập của HVSV, góp phần nâng cao chất lượng đào tạo.
- c) Tuân thủ quy định về bảo vệ bí mật nhà nước.",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Đánh giá học phần gồm những thành phần nào?,"a)Việc đánh giá học phần được thực hiện thông qua một hoặc một số bài thi, kiểm tra thành phần, bao gồm: thi kết thúc học phần, thi giữa kỳ và các bài kiểm tra đánh giá thường xuyên. Cụ thể các bài thi, kiểm tra được xác định bởi đề cương chi tiết học phần. 
b)Mỗi bài thi, kiểm tra thành phần được thiết kế để đánh giá một hoặc một số chuẩn đầu ra học phần.
c)Học phần tốt nghiệp được đánh giá bởi 01 điểm thành phần, là điểm thi tốt nghiệp hoặc điểm bảo vệ đồ án tốt nghiệp.","1. Đánh giá học phần là việc đánh giá mức độ người học đạt được các chuẩn đầu ra của học phần. Kết quả đánh giá học phần được thể hiện bằng điểm học phần.
2. Các thành phần trong đánh giá học phần
- a) Việc đánh giá học phần được thực hiện thông qua một hoặc một số bài thi, kiểm tra thành phần, bao gồm: thi kết thúc học phần, thi giữa kỳ và các bài kiểm tra đánh giá thường xuyên. Cụ thể các bài thi, kiểm tra được xác định bởi đề cương chi tiết học phần.",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Điều kiện dự thi kết thúc học phần?,"HVSV được phép dự thi kết thúc học phần khi đáp ứng đồng thời các điều
kiện sau
a) Đóng học phí, lệ phí đầy đủ.
b) Điểm quá trình đạt ngưỡng đảm bảo chất lượng theo quy định tại Điều 32.
c) Tham gia tối thiểu 75% số giờ học trên lớp theo thời khóa biểu, bao gồm
giờ học truyền thống và giờ học trực tuyến.
d) Chưa được công nhận thi đạt.
đ) Chưa sử dụng hết số lần dự thi.","1. HVSV được phép dự thi kết thúc học phần khi đáp ứng đồng thời các điều kiện sau
- a) Đóng học phí, lệ phí đầy đủ.
- b) Điểm quá trình đạt ngưỡng đảm bảo chất lượng theo quy định tại Điều 32.
- c) Tham gia tối thiểu 75% số giờ học trên lớp theo thời khóa biểu, bao gồm giờ học truyền thống và giờ học trực tuyến.
- d) Chưa được công nhận thi đạt.
6. đ) Chưa sử dụng hết số lần dự thi.
2. Số lần dự thi kết thúc học phần
- a) Với mỗi học phần, mỗi HVSV được phép dự thi kết thúc học phần tối đa",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Sinh viên được dự thi kết thúc học phần bao nhiêu lần?,"a) Với mỗi học phần, mỗi HVSV được phép dự thi kết thúc học phần tối đa
4
2 lần. Trong trường hợp HVSV có ý thức rèn luyện kém, đạt điểm rèn luyện từ
mức trung bình trở xuống, theo đề nghị của Đơn vị quản lý HVSV, Giám đốc Học
viện quyết định tước quyền dự thi lần 2 của HVSV.
b) HVSV đủ điều kiện tham dự kỳ thi nhưng vắng thi không có lý do chính
đáng (theo quy định tại khoản 3 Điều này), hoặc không được tham dự kỳ thi vì
không đáp ứng điều kiện quy định tại điểm a khoản 1 Điều này hoặc vì lý do đến
muộn thì coi như đã tham dự kỳ thi đó và phải nhận điểm 0.
c) HVSV tham dự kỳ thi chính có kết quả không đạt phải đóng lệ phí thi lại
và tham dự kỳ thi phụ ngay sau đó.
d) HVSV đủ điều kiện tham dự kỳ thi chính nhưng vắng thi có lý do chính
đáng (theo quy định tại khoản 3 Điều này) thì phải tham gia kỳ thi phụ ngay sau
đó, không cần đóng lệ phí thi lại, kết quả thi được tính là thi lần 1.
đ) HVSV đủ điều kiện tham dự kỳ thi phụ nhưng vắng thi có lý do chính đáng
(theo quy định tại khoản 3 Điều này), hoặc HVSV có kết quả không đạt ở kỳ thi
phụ nhưng chưa sử dụng hết 2 lượt thi thì có thể tham gia thi trả nợ trong các kỳ
thi được tổ chức cho các khóa học sau. Trong trường hợp này, HVSV cần làm
Đơn dự thi, nộp về cho Đơn vị quản lý HVSV chậm nhất 10 ngày làm việc trước
ngày thi.
e) HVSV bị xử lý kỷ luật ở mức ""Đình chỉ thi"" theo khoản 3 Điều 48 thì coi
như đã sử dụng hết tất cả các lượt thi.","1. HVSV được phép dự thi kết thúc học phần khi đáp ứng đồng thời các điều kiện sau
- a) Đóng học phí, lệ phí đầy đủ.
- b) Điểm quá trình đạt ngưỡng đảm bảo chất lượng theo quy định tại Điều 32.
- c) Tham gia tối thiểu 75% số giờ học trên lớp theo thời khóa biểu, bao gồm giờ học truyền thống và giờ học trực tuyến.
- d) Chưa được công nhận thi đạt.
6. đ) Chưa sử dụng hết số lần dự thi.
2. Số lần dự thi kết thúc học phần
- a) Với mỗi học phần, mỗi HVSV được phép dự thi kết thúc học phần tối đa

2 lần. Trong trường hợp HVSV có ý thức rèn luyện kém, đạt điểm rèn luyện từ mức trung bình trở xuống, theo đề nghị của Đơn vị quản lý HVSV, Giám đốc Học viện quyết định tước quyền dự thi lần 2 của HVSV.

- b) HVSV đủ điều kiện tham dự kỳ thi nhưng vắng thi không có lý do chính đáng (theo quy định tại khoản 3 Điều này), hoặc không được tham dự kỳ thi vì không đáp ứng điều kiện quy định tại điểm a khoản 1 Điều này hoặc vì lý do đến muộn thì coi như đã tham dự kỳ thi đó và phải nhận điểm 0.
- c) HVSV tham dự kỳ thi chính có kết quả không đạt phải đóng lệ phí thi lại và tham dự kỳ thi phụ ngay sau đó.
- d) HVSV đủ điều kiện tham dự kỳ thi chính nhưng vắng thi có lý do chính đáng (theo quy định tại khoản 3 Điều này) thì phải tham gia kỳ thi phụ ngay sau đó, không cần đóng lệ phí thi lại, kết quả thi được tính là thi lần 1.
4. đ) HVSV đủ điều kiện tham dự kỳ thi phụ nhưng vắng thi có lý do chính đáng (theo quy định tại khoản 3 Điều này), hoặc HVSV có kết quả không đạt ở kỳ thi phụ nhưng chưa sử dụng hết 2 lượt thi thì có thể tham gia thi trả nợ trong các kỳ thi được tổ chức cho các khóa học sau. Trong trường hợp này, HVSV cần làm Đơn dự thi, nộp về cho Đơn vị quản lý HVSV chậm nhất 10 ngày làm việc trước ngày thi.
- e) HVSV bị xử lý kỷ luật ở mức ""Đình chỉ thi"" theo khoản 3 Điều 48 thì coi như đã sử dụng hết tất cả các lượt thi.
3. Điều kiện và thủ tục hoãn thi
- a) Điều kiện hoãn thi: HVSV được coi là hoãn thi có lý do chính đáng nếu thuộc một trong các trường hợp
- Đang điều trị nội...",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Điều kiện và thủ tục hoãn thi?,"a) Điều kiện hoãn thi: HVSV được coi là hoãn thi có lý do chính đáng nếu
thuộc một trong các trường hợp
- Đang điều trị nội trú ở cơ sở y tế trong thời gian thi.
- Bị tai nạn vào ngày thi, trước thời gian thi.
- Có người thân qua đời trong vòng 3 ngày trước ngày thi.
- Các trường hợp khác do Học viện xem xét, quyết định.
b) Thủ tục hoãn thi: HVSV hoãn thi phải làm đơn hoãn thi nêu rõ lý do, kèm
theo hồ sơ có liên quan và nộp chậm nhất 03 ngày làm việc trước ngày thi; trường
hợp đặc biệt, chậm nhất 03 ngày làm việc sau ngày thi
- Đối với HVSV đại học: nộp về Đơn vị quản lý HVSV.
- Các đối tượng khác: nộp về Đơn vị Khảo thí.
c) Hết thời hạn tiếp nhận đơn hoãn thi, Đơn vị quản lý HVSV tổng hợp và
thông báo cho Đơn vị khảo thí danh sách HVSV hoãn thi có lý do chính đáng.","- b) HVSV đủ điều kiện tham dự kỳ thi nhưng vắng thi không có lý do chính đáng (theo quy định tại khoản 3 Điều này), hoặc không được tham dự kỳ thi vì không đáp ứng điều kiện quy định tại điểm a khoản 1 Điều này hoặc vì lý do đến muộn thì coi như đã tham dự kỳ thi đó và phải nhận điểm 0.
- c) HVSV tham dự kỳ thi chính có kết quả không đạt phải đóng lệ phí thi lại và tham dự kỳ thi phụ ngay sau đó.
- d) HVSV đủ điều kiện tham dự kỳ thi chính nhưng vắng thi có lý do chính đáng (theo quy định tại khoản 3 Điều này) thì phải tham gia kỳ thi phụ ngay sau đó, không cần đóng lệ phí thi lại, kết quả thi được tính là thi lần 1.
4. đ) HVSV đủ điều kiện tham dự kỳ thi phụ nhưng vắng thi có lý do chính đáng (theo quy định tại khoản 3 Điều này), hoặc HVSV có kết quả không đạt ở kỳ thi phụ nhưng chưa sử dụng hết 2 lượt thi thì có thể tham gia thi trả nợ trong các kỳ thi được tổ chức cho các khóa học sau. Trong trường hợp này, HVSV cần làm Đơn dự thi, nộp về cho Đơn vị quản lý HVSV chậm nhất 10 ngày làm việc trước ngày thi.
- e) HVSV bị xử lý kỷ luật ở mức ""Đình chỉ thi"" theo khoản 3 Điều 48 thì coi như đã sử dụng hết tất cả các lượt thi.
3. Điều kiện và thủ tục hoãn thi
- a) Điều kiện hoãn thi: HVSV được coi là hoãn thi có lý do chính đáng nếu thuộc một trong các trường hợp
- Đang điều trị nội trú ở cơ sở y tế trong thời gian thi.
- Bị tai nạn vào ngày thi, trước thời gian thi.
- Có người thân qua đời trong vòng 3 ngày trước ngày thi.
- Các trường hợp khác do Học viện xem xét, quyết định.
- b) Thủ tục hoãn thi: HVSV hoãn thi phải làm đơn hoãn thi nêu rõ lý do, kèm theo hồ sơ có liên quan và nộp chậm nhất 03 ngày làm việc trước ngày thi; trường hợp đặc biệt, chậm nhất 03 ngày làm việc sau ngày thi
- Đối với HVSV đại học: nộp về Đơn vị quản lý HVSV.
- Các đối tượng khác: nộp về Đơn vị Khảo thí.
- c) Hết thời hạn tiếp nhận đơn hoãn thi, Đơn vị quản lý HVSV tổng hợp và thông báo cho Đơn vị khảo thí danh sách HVSV hoãn thi có lý do chính đáng.",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Mỗi học kỳ có bao nhiêu kỳ thi kết thúc học phần?,"Với mỗi học kỳ, ở mỗi trình độ đào tạo, Học viện tổ chức một kỳ thi chính và một kỳ thi phụ để thi kết thúc học phần.","Với mỗi học kỳ, ở mỗi trình độ đào tạo, Học viện tổ chức một kỳ thi chính và một kỳ thi phụ để thi kết thúc học phần.",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Trách nhiệm chung của cán bộ coi thi là gì?,"a) Có mặt đúng thời gian, địa điểm quy định để nhận phân công nhiệm vụ
coi thi, nhận bàn giao tài liệu phòng thi.
b) Coi thi nghiêm túc, đúng quy định. Khi thí sinh hỏi điều gì, CBCT chỉ
được trả lời công khai trong phạm vi quy định. Trường hợp thí sinh vi phạm kỷ
luật thì xử lý hoặc đề nghị xử lý theo quy định.
c) Không hút thuốc, không sử dụng đồ uống có cồn, không sử dụng điện
thoại, không làm việc riêng trong thời gian làm nhiệm vụ coi thi. Có thái độ, tác
phong, lời nói phù hợp chuẩn mực sư phạm.
d) Sau khi kết thúc ca thi, bàn giao tài liệu phòng thi theo quy định.","1. Cán bộ coi thi (CBCT) phải tốt nghiệp đại học trở lên, có đủ phẩm chất,
2. năng lực để thực hiện công tác coi thi.
2. Các khoa cử cán bộ, giảng viên tham gia công tác coi thi theo kế hoạch thi. Các cá nhân từ các đơn vị khác có thể được mời tham gia công tác coi thi để đảm bảo đủ số lượng CBCT theo quy định.
3. Trách nhiệm chung của CBCT:
- a) Có mặt đúng thời gian, địa điểm quy định để nhận phân công nhiệm vụ
6. coi thi, nhận bàn giao tài liệu phòng thi.
- b) Coi thi nghiêm túc, đúng quy định. Khi thí sinh hỏi điều gì, CBCT chỉ được trả lời công khai trong phạm vi quy định. Trường hợp thí sinh vi phạm kỷ luật thì xử lý hoặc đề nghị xử lý theo quy định.
- c) Không hút thuốc, không sử dụng đồ uống có cồn, không sử dụng điện thoại, không làm việc riêng trong thời gian làm nhiệm vụ coi thi. Có thái độ, tác phong, lời nói phù hợp chuẩn mực sư phạm.
- d) Sau khi kết thúc ca thi, bàn giao tài liệu phòng thi theo quy định.",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Bộ đề thi kết thúc học phần được chuẩn bị như thế nào?,"1. Những học phần đã có ngân hàng câu hỏi thi và ma trận đề thi thì đề thi
được sinh từ ngân hàng câu hỏi thi theo ma trận đề thi. Trường hợp còn lại, khoa
phụ trách học phần có trách nhiệm biên soạn đề thi kết thúc học phần.
2. Số lượng đề thi trong bộ đề thi
a) Đối với hình thức thi tự luận, mỗi ca thi sử dụng một bộ đề thi khác nhau.
Mỗi bộ đề thi gồm
- 02 đề thi nếu phòng thi dưới 30 thí sinh;
- 03 đề thi nếu phòng thi có nhiều hơn 30 thí sinh.
b) Đối với hình thức thi trắc nghiệm: tối thiểu 04 mã đề, khác nhau về nội
dung hoặc trật tự các câu hỏi. Nếu số lượng thí sinh dự thi nhỏ hơn 4 thì chuẩn bị
số lượng mã đề thi bằng số lượng thí sinh.
c) Đối với hình thức thi vấn đáp, thực hành: tối thiểu 10 đề thi trên mỗi tín chỉ.
3. Trường hợp khoa biên soạn đề thi thì gửi bộ đề thi kèm theo đáp án (hoặc
hướng dẫn chấm) về Đơn vị khảo thí chậm nhất 07 ngày trước ngày thi.","1. Những học phần đã có ngân hàng câu hỏi thi và ma trận đề thi thì đề thi được sinh từ ngân hàng câu hỏi thi theo ma trận đề thi. Trường hợp còn lại, khoa phụ trách học phần có trách nhiệm biên soạn đề thi kết thúc học phần.
2. Số lượng đề thi trong bộ đề thi
- a) Đối với hình thức thi tự luận, mỗi ca thi sử dụng một bộ đề thi khác nhau. Mỗi bộ đề thi gồm
- 02 đề thi nếu phòng thi dưới 30 thí sinh;
- 03 đề thi nếu phòng thi có nhiều hơn 30 thí sinh.
- b) Đối với hình thức thi trắc nghiệm: tối thiểu 04 mã đề, khác nhau về nội dung hoặc trật tự các câu hỏi. Nếu số lượng thí sinh dự thi nhỏ hơn 4 thì chuẩn bị số lượng mã đề thi bằng số lượng thí sinh.
- c) Đối với hình thức thi vấn đáp, thực hành: tối thiểu 10 đề thi trên mỗi tín chỉ.
3. Trường hợp khoa biên soạn đề thi thì gửi bộ đề thi kèm theo đáp án (hoặc hướng dẫn chấm) về Đơn vị khảo thí chậm nhất 07 ngày trước ngày thi.",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Bao lâu thì sinh viên biết điểm đánh giá quá trình?,"Giảng viên phải thông báo kết quả đánh giá quá trình cho HVSV chậm nhất
vào buổi học cuối của học phần.","1. Giảng viên thông báo kết quả đánh giá quá trình cho HVSV chậm nhất vào buổi học cuối của học phần.
2. Khoa phụ trách học phần chịu trách nhiệm đảm bảo đánh giá quá trình phải được cập nhật vào hệ thống quản lý đào tạo của Học viện. Trường hợp học phần chưa có trong hệ thống quản lý đào tạo thì gửi bảng tổng hợp điểm cho Đơn vị khảo thí .",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
